1,2,3,4,5,6,7,8,9,36,37,38,39,40,41,42,43,44,45,46,53,54,55,56,62,63,64,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
2,Variable,,,,Precipitaciï¿,,,,,,,,,,,,,,,Temperatura media,,,,,,,,,,Evaporaciï¿,,,,,,,Brillo Solar,,,Caudal,,,,,,,,,,,
3,Resolucion,,,,Diaria,,,,,,,,,,,,,,,Diaria,,,,,,,,,,Diaria,,,,,,,Diario,,,Diario,,,,,,,,,,,
4,Unidad,,,,mm,,,,,,,,,,,,,,,ýC,,,,,,,,,,mm,,,,,,,horas,,,m3/s,,,,,,,,,,,
5,Agregacion Mensual y Annual,,,,sum,,,,,,,,,,,,,,,mean,,,,,,,,,,sum,,,,,,,mean,,,mean,,,,,,,,,,,
6,Control Negativos (TRUE o FALSE),,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,
7,Limite Inferior (NA o valor),,,,0,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,0,,,0,,,,,,,,,,,
8,Limite Superior (NA o valor),,,,NA,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,NA,,,NA,,,,,,,,,,,
9,DesviacionEstandar (Diaria o Periodo Completo),,,,Periodo Completo,,,,,,,,,,,,,,,Periodo Completo,,,,,,,,,,Periodo Completo,,,,,,,Periodo Completo,,,Periodo Completo,,,,,,,,,,,
10,"Num Desviaciones Estandar (1 ~ 68%, 2 ~95%, 3 ~ 99%)",,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,2,,,2,,,,,,,,,,,
11,%Nas Adimitidos,,,,60,,,,,,,,,,,,,,,60,,,,,,,,,,60,,,,,,,60,,,100,,,,,,,,,,,
12,Latitud,,,,4.952,4.767,4.85,4.904,4.893,5.109,5.03,4.812,4.871,5.163,5.268,5.281,5.133,4.794,4.676,4.717,4.717,4.868,4.816,5.691,10.566389,5.028916667,5.056072222,5.080394444,4.841667,4.776,4.868,4.816,4.933,4.841667,5.03,5.079,4.868,4.816,5.03,4.867,4.733,5.127,5.119,4.757,4.711,4.773,4.728,5.029,4.97624,4.892675235,4.86136
13,Longitud,,,,-75.49,-75.383,-75.25,-75.253,-75.883,-75.702,-75.47,-75.843,-75.173,-75.518,-75.664,-75.665,-75.717,-75.987,-75.786,-75.267,-75.25,-75.628,-75.737,-75.880222,-73.016389,-75.47222222,-75.49207222,-75.50894167,-75.579972,-75.413,-75.628,-75.737,-75.733,-75.579972,-75.47,-75.967,-75.628,-75.737,-75.47,-75.617,-75.583,-75.671,-75.565,-75.597,-75.758,-75.633,-75.603,-75.476,-75.6845,-75.52853108,-75.6221
14,Altitud,,,,2304,4500,3150,3740,922,917,2104,1210,3023,1980,766,797,980,960,1261,3500,3250,1700,1199,1180,255,2092,2179,2060,1947,3950,1700,1199,1500,1947,2104,1736,1700,1199,2104,1630,1920,848,1173,1726,1239,1589,1880,2100,1214.001007,1703.287299,1666.313278
15,Nombre,,,,Papayal,La Linea Africa,Alto del oso,Boqueron ,Virginia La Alerta,Arauca,Apto La Nubia,Maracay,Murillo,Neira,Irra,Guerrerito,La Margarita,La Inmaculada,Alcala,Totarito,La Ermita,Veracruz,Apto Matecaï¿,ITA ANDES,URUMITA,La Nubia,Posgrados,Emas,San Remo,La Laguna,Veracruz,Apto Matecaï¿,Jardï¿½n Botï¿½,San Remo,Apto La Nubia,La Camelia,Veracruz,Apto Matecaï¿,Apto La Nubia,La Reina,Buenos Aires,El Retiro ,San Gabriel,Playa Rica,Sucre,La Bananera,La Reten Autom.,Chupaderos,Estrella Sobrante,Mi Casita,La Reina
16,Date,Year,Month,Day,26150150,21245070,21250050,21250170,26140180,26150060,26155110,26130220,21250110,26160100,26170250,26170260,26170270,26110150,26120150,21245100,21245090,26135110,26135040,2619502,2801507,18,13,5,26135160,26135140,26135110,26135040,26135090,26135160,26155110,26145030,26135110,26135040,26155110,26137120,26137200,26157020,26157100,26137180,26127090,26137110,26137220,26157080,6-905-2,6-945,6-907
17,1/1/1960,1960,1,1,,,,,11,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2/1/1960,1960,1,2,,,,,20,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3/1/1960,1960,1,3,,,,,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4/1/1960,1960,1,4,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5/1/1960,1960,1,5,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6/1/1960,1960,1,6,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7/1/1960,1960,1,7,,,,,6,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8/1/1960,1960,1,8,,,,,0,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9/1/1960,1960,1,9,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10/1/1960,1960,1,10,,,,,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,11/1/1960,1960,1,11,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12/1/1960,1960,1,12,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13/01/1960,1960,1,13,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,14/01/1960,1960,1,14,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15/01/1960,1960,1,15,,,,,18,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,16/01/1960,1960,1,16,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,17/01/1960,1960,1,17,,,,,0,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,18/01/1960,1960,1,18,,,,,15,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,19/01/1960,1960,1,19,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20/01/1960,1960,1,20,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,21/01/1960,1960,1,21,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,22/01/1960,1960,1,22,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,23/01/1960,1960,1,23,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,24/01/1960,1960,1,24,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,25/01/1960,1960,1,25,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,26/01/1960,1960,1,26,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,27/01/1960,1960,1,27,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,28/01/1960,1960,1,28,,,,,29,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,29/01/1960,1960,1,29,,,,,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,30/01/1960,1960,1,30,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,31/01/1960,1960,1,31,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1/2/1960,1960,2,1,,,,,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2/2/1960,1960,2,2,,,,,0,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3/2/1960,1960,2,3,,,,,10,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4/2/1960,1960,2,4,,,,,13,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5/2/1960,1960,2,5,,,,,10,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6/2/1960,1960,2,6,,,,,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7/2/1960,1960,2,7,,,,,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8/2/1960,1960,2,8,,,,,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9/2/1960,1960,2,9,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10/2/1960,1960,2,10,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,11/2/1960,1960,2,11,,,,,2,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,12/2/1960,1960,2,12,,,,,0,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13/02/1960,1960,2,13,,,,,0,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,14/02/1960,1960,2,14,,,,,0,,,,15,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15/02/1960,1960,2,15,,,,,73,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,16/02/1960,1960,2,16,,,,,11,,,,5,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,17/02/1960,1960,2,17,,,,,0,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,18/02/1960,1960,2,18,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,19/02/1960,1960,2,19,,,,,0,,,,24,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20/02/1960,1960,2,20,,,,,0,,,,0,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,21/02/1960,1960,2,21,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,22/02/1960,1960,2,22,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,23/02/1960,1960,2,23,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,24/02/1960,1960,2,24,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,25/02/1960,1960,2,25,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,26/02/1960,1960,2,26,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,27/02/1960,1960,2,27,,,,,0,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,28/02/1960,1960,2,28,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,29/02/1960,1960,2,29,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1/3/1960,1960,3,1,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2/3/1960,1960,3,2,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3/3/1960,1960,3,3,,,,,0,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4/3/1960,1960,3,4,,,,,47,,,,0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,5/3/1960,1960,3,5,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,6/3/1960,1960,3,6,,,,,0,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,7/3/1960,1960,3,7,,,,,0,,,,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,8/3/1960,1960,3,8,,,,,1,,,,5,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,9/3/1960,1960,3,9,,,,,0,,,,15,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10/3/1960,1960,3,10,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,11/3/1960,1960,3,11,,,,,0,,,,5,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,12/3/1960,1960,3,12,,,,,0,,,,8,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,13/03/1960,1960,3,13,,,,,0,,,,14,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,14/03/1960,1960,3,14,,,,,11,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,15/03/1960,1960,3,15,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,16/03/1960,1960,3,16,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,17/03/1960,1960,3,17,,,,,0,,,,15,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,18/03/1960,1960,3,18,,,,,0,,,,39,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,19/03/1960,1960,3,19,,,,,0,,,,12,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,20/03/1960,1960,3,20,,,,,0,,,,11,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,21/03/1960,1960,3,21,,,,,0,,,,22,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,22/03/1960,1960,3,22,,,,,15,,,,0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,23/03/1960,1960,3,23,,,,,10,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,24/03/1960,1960,3,24,,,,,0,,,,80,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,25/03/1960,1960,3,25,,,,,43,,,,20,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,26/03/1960,1960,3,26,,,,,0,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,27/03/1960,1960,3,27,,,,,0,,,,5,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,28/03/1960,1960,3,28,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,29/03/1960,1960,3,29,,,,,5,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,30/03/1960,1960,3,30,,,,,0,,,,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,31/03/1960,1960,3,31,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1/4/1960,1960,4,1,,,,,2,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2/4/1960,1960,4,2,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,3/4/1960,1960,4,3,,,,,0,,,,28,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4/4/1960,1960,4,4,,,,,17,,,,5,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5/4/1960,1960,4,5,,,,,5,,,,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6/4/1960,1960,4,6,,,,,0,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,7/4/1960,1960,4,7,,,,,0,,,,32,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,8/4/1960,1960,4,8,,,,,12,,,,3,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,9/4/1960,1960,4,9,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,10/4/1960,1960,4,10,,,,,0,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
